,hotel_link,hotel_link-href,review_count,hotel_name
1305,Linda Beach Resort,https://www.tripadvisor.co.id/Hotel_Review-g1137831-d1454350-Reviews-or5-Linda_Beach_Resort-Nusa_Lembongan_Bali.html,170,linda_beach_res
1306,Villa Layang Bulan,https://www.tripadvisor.co.id/Hotel_Review-g608486-d1863756-Reviews-or5-Villa_Layang_Bulan-Kerobokan_North_Kuta_Bali.html,100,villa_layang_bu
1313,Casa Artista by Villa Kresna,https://www.tripadvisor.co.id/Hotel_Review-g469404-d1340034-Reviews-or5-Casa_Artista_by_Villa_Kresna-Seminyak_Kuta_District_Bali.html,121,casa_artista_by
1321,Nusa Indah Bungalows Surfer Beach Cafe,https://www.tripadvisor.co.id/Hotel_Review-g1137831-d3184595-Reviews-or5-Nusa_Indah_Bungalows_Surfer_Beach_Cafe-Nusa_Lembongan_Bali.html,208,nusa_indah_bung
1337,Yoga Searcher Bali,https://www.tripadvisor.co.id/Hotel_Review-g1380108-d9750705-Reviews-or5-Yoga_Searcher_Bali-Pecatu_Bukit_Peninsula_Bali.html,101,yoga_searcher_b
1340,Umalas Hotel and Residence,https://www.tripadvisor.co.id/Hotel_Review-g469404-d1880584-Reviews-or5-Umalas_Hotel_and_Residence-Seminyak_Kuta_District_Bali.html,286,umalas_hotel_an
1343,Permata Kuta Hotel by Zeeti International,https://www.tripadvisor.co.id/Hotel_Review-g562690-d605545-Reviews-or5-Permata_Kuta_Hotel_by_Zeeti_International-Tuban_Kuta_Kuta_District_Bali.html,464,permata_kuta_ho
1350,Diamond Hotel Kuta Bali,https://www.tripadvisor.co.id/Hotel_Review-g297697-d5599917-Reviews-or5-Diamond_Hotel_Kuta_Bali-Kuta_Kuta_District_Bali.html,233,diamond_hotel_k
1359,Suly Vegetarian Resort & Spa,https://www.tripadvisor.co.id/Hotel_Review-g3932211-d651144-Reviews-or5-Suly_Vegetarian_Resort_Spa-Peliatan_Ubud_Gianyar_Regency_Bali.html,441,suly_vegetarian
1360,Matahari Bungalow,https://www.tripadvisor.co.id/Hotel_Review-g297697-d619252-Reviews-or5-Matahari_Bungalow-Kuta_Kuta_District_Bali.html,453,matahari_bungal
1369,Bali Bule Homestay,https://www.tripadvisor.co.id/Hotel_Review-g1380108-d3334796-Reviews-or5-Bali_Bule_Homestay-Pecatu_Bukit_Peninsula_Bali.html,140,bali_bule_homes
1380,Swan Inn,https://www.tripadvisor.co.id/Hotel_Review-g297701-d1849292-Reviews-or5-Swan_Inn-Ubud_Gianyar_Regency_Bali.html,192,swan_inn
